Input.name,Variable.name,Subset.name,Dataset
Width at bottom (m),w_found_bott,Area.5,construct
Hardstanding,NA,Area.5,construct
Average depth of peat removed when constructing hardstanding (m),d_peat_rem_hardstand,Area.5,construct
Approximate geometric shape of whole dug when constructing hardstanding,shape_hardstand,Area.5,construct
Diameter at surface (m),diam_hardstand_surf,Area.5,construct
Diameter at bottom (m),diam_hardstand_bott,Area.5,construct
Length at surface (m),l_hardstand_surf,Area.5,construct
Width at surface (m),w_hardstand_surf,Area.5,construct
Length at bottom (m),l_hardstand_bott,Area.5,construct
Width at bottom (m),w_hardstand_bott,Area.5,construct
Piling,NA,Area.5,construct
Is piling used?,piling_in,Area.5,construct
Volume of Concrete,NA,Area.5,construct
Volume of concrete used (m3),V_concrete,Area.5,construct
